group,WQSC,location,river,state,Latitude,Longitude,Colour,ColourFill
"NOT Class C",2751,"CHENAB AT JAL PATAN MANDIR AFTER MEETING WITH MAIN DRAIN OF AKHNOOR CITY(1.5 KMD/S FROM SPOT,J&K",CHENAB,"JAMMU & KASHMIR","32.895309","74.740171",red,"#f03"
"NOT Class C",2752,"BASANTER AT SAMBA (BELOW NH-1A BRIDGE), BASANTAR US (R.H.S),J&K",BASANTER,"JAMMU & KASHMIR","32.635833","75.170278",red,"#f03"
"NOT Class C",2753,"BASANTER AT SAMBA (AT CHAK MANGA GUJJAR BASANTAR) D/S(R.H.S.), J&K",BASANTER,"JAMMU & KASHMIR","32.653333","75.096389",red,"#f03"
"NOT Class C",2754,"DEVAK UDHAMPUR(NEAR SHIV MANDIRD/S)L.H.S.,J&K",,"JAMMU & KASHMIR","32.920611","75.125547",red,"#f03"
"NOT Class C",2755,"BANGANGA (BATHING GHAT),KATRA,J&K",,"JAMMU & KASHMIR","32.983326","74.90052",red,"#f03"
"NOT Class C",2756,"BANGANGA (IN FRONT OF PONY SHED NEAR REASI BRIDGE)KATRA,J&K",,"JAMMU & KASHMIR","33.072819","74.834372",red,"#f03"
"NOT Class C",2757,"DEVAK AT UTTERBEHNI,J&K",DEVAK,"JAMMU & KASHMIR","32.571694","75.111288",red,"#f03"
"NOT Class C",2758,"UJH AT DAM SITE(L.H.S.), KATHUA,J&K",UJH,"JAMMU & KASHMIR","32.667971","75.486415",red,"#f03"
"Class C",2763,"ASANGI NALLA AT ASANGI VILLAGE, KARNATAKA","ASANGI NALLA",KARNATAKA,"16.503131","75.116569",blue,"#00f"
"NOT Class C",2764,"MALPRABHA AT BADAMI BRIDGE, KARNATAKA",MALPRABHA,KARNATAKA,"15.875672","75.722272",red,"#f03"
"Class C",2765,"BHADRA AT U/S OF MPM, KARNATAKA",BHADRA,KARNATAKA,"13.812647","75.716319",blue,"#00f"
"NOT Class C",2766,"TUNGABHADRA AT NEW BRIDGE, KARNATAKA",TUNGABHADRA,KARNATAKA,"14.514278","75.785697",red,"#f03"
"NOT Class C",2767,"TUNGABHADRA AT U/S OF HPF, KARNATAKA",TUNGABHADRA,KARNATAKA,"14.514278","75.785697",red,"#f03"
"NOT Class C",2768,"TUNGABHADRA AT D/S OF HPF, KARNATAKA",TUNGABHADRA,KARNATAKA,"14.514278","75.785697",red,"#f03"
"NOT Class C",2769,"TUNGABHADRA AT JACKWELL POINT, KARNATAKA",TUNGABHADRA,KARNATAKA,"14.5265","75.796072",red,"#f03"
"NOT Class C",2770,"TUNGABHADRA AT HARIHAR WATER SUPPLY INTAKE, KARNATAKA",TUNGABHADRA,KARNATAKA,"14.515836","75.797939",red,"#f03"
"Class C",2771,"BHADRA AT U/S OF KIOCL, KARNATAKA",BHADRA,KARNATAKA,"13.212753","75.234217",blue,"#00f"
"NOT Class C",2772,"LAKSHMANTIRTHA AT D/S OF KATTEMALAVADI, KARNATAKA",LAKSHMANTIRTHA,KARNATAKA,"12.344614","76.286175",red,"#f03"
"NOT Class C",2773,"CAUVERY AT BANNUR BRIDGE, KARNATAKA",CAUVERY,KARNATAKA,"12.321469","76.841472",red,"#f03"
"NOT Class C",2774,"CAUVERY AT RANGANATHITTU, KARNATAKA",CAUVERY,KARNATAKA,"12.425022","76.653544",red,"#f03"
"NOT Class C",2775,"KABINI AT BATHING GHAT, NANJANAGUD, KARNATAKA",KABINI,KARNATAKA,"12.128775","76.683736",red,"#f03"
"NOT Class C",2776,"TUNGABHADRA AT D/S OF GANGAWATHI, KARNATAKA",TUNGABHADRA,KARNATAKA,"15.41225","76.58625",red,"#f03"
"NOT Class C",2777,"KAGINA AT SHAHABAD BRIDGE, KARNATAKA",KAGINA,KARNATAKA,"17.139369","76.966739",red,"#f03"
"NOT Class C",2778,"ARKAVATHI AT T.G. HALLI RESERVOIR, , KARNATAKA",ARKAVATHI,KARNATAKA,"12.967039","77.337053",red,"#f03"
"NOT Class C",2780,"KALI AT U/S OF WCPM, DANDELI, KARNATAKA",KALI,KARNATAKA,"15.253247","74.601225",red,"#f03"
"NOT Class C",2781,"KRISHNA AT D/S OF ALAMATTI DAM, KARNATAKA",KRISHNA,KARNATAKA,"16.325069","75.899925",red,"#f03"
"NOT Class C",28,"BHIMA AT TAKLI, MAHARASHTRA",BHIMA,MAHARASHTRA,"17.703734","75.544604",red,"#f03"
"NOT Class C",29,"TUNGHABHADRA AT ULLANUR, KARNATAKA",TUNGHABHADRA,KARNATAKA,"15.494844","76.692417",red,"#f03"
"NOT Class C",2947,"RIVER JAWAI AT JAWAI DAM, SIROHI, RAJASTHAN","RIVER JAWAI",RAJASTHAN,"25.092685","73.145287",red,"#f03"
"Class C",2948,"RIVER BANDI AT HEMAWAS DAM, PALI, RAJASTHAN","RIVER BANDI",RAJASTHAN,"25.720558","73.338047",blue,"#00f"
"Class C",2949,"RIVER LUNI AT RANAKPUR DAM, RANAKPUR, PALI, RAJASTHAN","RIVER LUNI",RAJASTHAN,"25.132002","73.477008",blue,"#00f"
"Class C",30,"PENNAR AT SIDDVATA, NELLORE, A.P.",PENNAR,"ANDHRA PRADESH","14.464393","78.964627",blue,"#00f"
"NOT Class C",3012,"CAUVERY AT KOMARAPALAYAM, NAMAKAL, TAMILNADU",CAUVERY,TAMILNADU,"11.423503","77.685261",red,"#f03"
"NOT Class C",3013,"CAUVERY AT URRACHIKOTTAI, ERODE, TAMILNADU",CAUVERY,TAMILNADU,"11.354178","77.750436",red,"#f03"
"NOT Class C",3014,"CAUVERY AT VAIRAPALAYAM, NAMAKAL, TAMILNADU",CAUVERY,TAMILNADU,"11.361583","77.742411",red,"#f03"
"NOT Class C",3015,"CAUVERY AT PUGALUR, KARUR, TAMILNADU",CAUVERY,TAMILNADU,"10.974467","78.180075",red,"#f03"
"NOT Class C",3016,"CAUVERY AT PETTAIVAITHALAI, TRICHY, TAMILNADU",CAUVERY,TAMILNADU,"10.906389","78.489697",red,"#f03"
"NOT Class C",3017,"CAUVERY AT KUMBAKONAM, THANJAVUR, TAMILNADU",CAUVERY,TAMILNADU,"10.968137","79.378248",red,"#f03"
"NOT Class C",3019,"BHAVANI AT D/S OF BHAVANISAGAR, SATHYAMANGALAM, ERODE, TAMILNADU",BHAVANI,TAMILNADU,"11.503881","77.247036",red,"#f03"
